ID;Fact_Companion_ID;Companion_ID
725466;1;1
726862;2;1
727015;3;1
727219;4;1
727611;5;1
727650;6;1
727990;7;1
728002;8;1
728113;9;1
728177;10;1
729081;11;1
729112;12;1
729674;13;1
729954;14;1
730271;15;1
730433;16;1
730445;17;1
730448;18;1
730472;19;1
730624;20;1
730957;21;1
730965;22;1
731084;23;1
731148;24;1
731268;25;1
731273;26;1
731481;27;1
731526;28;1
731740;29;1
731807;30;1
731843;31;1
731932;32;1
732361;33;1
732434;34;1
732669;35;1
732706;36;1
732719;37;1
732732;38;1
732958;39;1
733574;40;1
733720;41;1
733736;42;1
733740;43;1
733939;44;1
733952;45;1
733977;46;1
733985;47;1
733988;48;1
734152;49;1
734169;50;1
734255;51;1
734310;52;1
734438;53;1
734563;54;1
734740;55;1
734754;56;1
735043;57;1
735059;58;1
735066;59;1
735957;60;1
736421;61;1
736467;62;1
736777;63;1
736894;64;1
737074;65;1
737382;66;1
737467;67;1
737514;68;1
737543;69;1
737758;70;1
738244;71;1
738307;72;1
738426;73;1
738435;74;1
738653;75;1
738678;76;1
738694;77;1
738942;78;1
738997;79;1
739061;80;1
739475;81;1
739684;82;1
739792;83;1
739972;84;1
740084;85;1
740497;86;1
740785;87;1
741281;88;1
741655;89;1
741729;90;1
742309;91;1
742385;92;1
742701;93;1
743123;94;1
743156;95;1
743236;96;1
743338;97;1
744018;98;1
744362;99;1
744379;100;1
744783;101;1
746310;102;1
746410;103;1
746594;104;1
746896;105;1
746969;106;1
746996;107;1
747134;108;1
747241;109;1
747293;110;1
747383;111;1
747544;112;1
747553;113;1
747578;114;1
747694;115;1
747835;116;1
747860;117;1
748086;118;1
748184;119;1
748185;120;1
748265;121;1
748393;122;1
748554;123;1
748748;124;1
748807;125;1
748883;126;1
748944;127;1
749176;128;1
749457;129;1
749837;130;1
749897;131;1
749904;132;1
749977;133;1
750058;134;1
750065;135;1
750621;136;1
751840;137;1
752760;138;1
754334;139;1
757809;140;1
757813;141;1
758332;142;1
758618;143;1
758734;144;1
758753;145;1
758905;146;1
759238;147;1
759284;148;1
759443;149;1
759494;150;1
760150;151;1
