ID;Visit#Dayofweek;Fact_Visit_Dayofweek_ID;DayofWeek_ID
344625;4.0;1;2
345343;4.0;2;2
346249;4.0;3;2
346725;4.0;4;2
346833;4.0;5;2
346925;4.0;6;2
347591;4.0;7;2
347593;4.0;8;2
347594;4.0;9;2
348220;4.0;10;2
348221;4.0;11;2
348222;4.0;12;2
348306;4.0;13;2
348307;4.0;14;2
348309;4.0;15;2
348312;4.0;16;2
348321;4.0;17;2
348327;4.0;18;2
357024;4.0;19;2
357580;4.0;20;2
358030;4.0;21;2
358031;4.0;22;2
358095;4.0;23;2
358230;4.0;24;2
358404;4.0;25;2
358808;4.0;26;2
358809;4.0;27;2
358930;4.0;28;2
358960;4.0;29;2
358962;4.0;30;2
358963;4.0;31;2
359041;4.0;32;2
359144;4.0;33;2
359149;4.0;34;2
359150;4.0;35;2
359151;4.0;36;2
359183;4.0;37;2
359383;4.0;38;2
359563;4.0;39;2
359564;4.0;40;2
359566;4.0;41;2
360106;4.0;42;2
360355;4.0;43;2
360588;4.0;44;2
360730;4.0;45;2
360732;4.0;46;2
360734;4.0;47;2
360737;4.0;48;2
361006;4.0;49;2
361518;4.0;50;2
361519;4.0;51;2
361791;4.0;52;2
361793;4.0;53;2
361794;4.0;54;2
362007;4.0;55;2
362008;4.0;56;2
362270;4.0;57;2
362512;4.0;58;2
362667;4.0;59;2
362711;4.0;60;2
363279;4.0;61;2
363406;4.0;62;2
363785;4.0;63;2
365304;4.0;64;2
365525;4.0;65;2
365734;4.0;66;2
365737;4.0;67;2
365739;4.0;68;2
365744;4.0;69;2
366024;4.0;70;2
366212;4.0;71;2
366395;4.0;72;2
366447;4.0;73;2
366448;4.0;74;2
366450;4.0;75;2
366452;4.0;76;2
366453;4.0;77;2
366454;4.0;78;2
366455;4.0;79;2
366456;4.0;80;2
366458;4.0;81;2
366936;4.0;82;2
367081;4.0;83;2
367084;4.0;84;2
367085;4.0;85;2
367781;4.0;86;2
367796;4.0;87;2
368256;4.0;88;2
368267;4.0;89;2
368349;4.0;90;2
377074;4.0;91;2
377849;4.0;92;2
379451;4.0;93;2
382292;4.0;94;2
382293;4.0;95;2
382905;4.0;96;2
383263;4.0;97;2
383475;4.0;98;2
383606;4.0;99;2
383607;4.0;100;2
383608;4.0;101;2
383647;4.0;102;2
383728;4.0;103;2
383729;4.0;104;2
383730;4.0;105;2
383731;4.0;106;2
383881;4.0;107;2
384438;4.0;108;2
385283;4.0;109;2
385885;4.0;110;2
386525;4.0;111;2
386526;4.0;112;2
386527;4.0;113;2
386729;4.0;114;2
386735;4.0;115;2
386737;4.0;116;2
386747;4.0;117;2
386762;4.0;118;2
386763;4.0;119;2
386764;4.0;120;2
386832;4.0;121;2
386899;4.0;122;2
386923;4.0;123;2
388725;4.0;124;2
389039;4.0;125;2
389205;4.0;126;2
389206;4.0;127;2
389207;4.0;128;2
389255;4.0;129;2
389256;4.0;130;2
389257;4.0;131;2
389419;4.0;132;2
389424;4.0;133;2
389454;4.0;134;2
389598;4.0;135;2
389704;4.0;136;2
389770;4.0;137;2
389772;4.0;138;2
389783;4.0;139;2
389784;4.0;140;2
389988;4.0;141;2
392124;4.0;142;2
392126;4.0;143;2
392738;4.0;144;2
392746;4.0;145;2
392984;4.0;146;2
393332;4.0;147;2
394573;4.0;148;2
394574;4.0;149;2
394601;4.0;150;2
396267;4.0;151;2
396318;4.0;152;2
396323;4.0;153;2
396328;4.0;154;2
396614;4.0;155;2
397723;4.0;156;2
400209;4.0;157;2
409878;4.0;158;2
410053;4.0;159;2
410105;4.0;160;2
411992;4.0;161;2
411993;4.0;162;2
412129;4.0;163;2
412532;4.0;164;2
412885;4.0;165;2
413198;4.0;166;2
414755;4.0;167;2
414884;4.0;168;2
415127;4.0;169;2
415473;4.0;170;2
415474;4.0;171;2
415476;4.0;172;2
415477;4.0;173;2
415478;4.0;174;2
415479;4.0;175;2
415480;4.0;176;2
415483;4.0;177;2
415486;4.0;178;2
415488;4.0;179;2
415489;4.0;180;2
415490;4.0;181;2
415491;4.0;182;2
415492;4.0;183;2
415493;4.0;184;2
415525;4.0;185;2
415526;4.0;186;2
415528;4.0;187;2
415529;4.0;188;2
416088;4.0;189;2
416092;4.0;190;2
416111;4.0;191;2
416160;4.0;192;2
416166;4.0;193;2
416168;4.0;194;2
416172;4.0;195;2
416188;4.0;196;2
416192;4.0;197;2
416194;4.0;198;2
416233;4.0;199;2
416235;4.0;200;2
416244;4.0;201;2
416338;4.0;202;2
416344;4.0;203;2
416345;4.0;204;2
416690;4.0;205;2
416924;4.0;206;2
416928;4.0;207;2
417508;4.0;208;2
417510;4.0;209;2
417511;4.0;210;2
417512;4.0;211;2
418686;4.0;212;2
418691;4.0;213;2
419052;4.0;214;2
419104;4.0;215;2
419106;4.0;216;2
419107;4.0;217;2
419108;4.0;218;2
419114;4.0;219;2
419116;4.0;220;2
419117;4.0;221;2
419118;4.0;222;2
419145;4.0;223;2
419223;4.0;224;2
419418;4.0;225;2
419419;4.0;226;2
419420;4.0;227;2
419421;4.0;228;2
440905;4.0;229;2
441230;4.0;230;2
441974;4.0;231;2
441975;4.0;232;2
441980;4.0;233;2
442634;4.0;234;2
442635;4.0;235;2
442636;4.0;236;2
442777;4.0;237;2
444116;4.0;238;2
444441;4.0;239;2
444443;4.0;240;2
444444;4.0;241;2
444445;4.0;242;2
444447;4.0;243;2
444448;4.0;244;2
444449;4.0;245;2
444450;4.0;246;2
444451;4.0;247;2
444452;4.0;248;2
444453;4.0;249;2
444454;4.0;250;2
444562;4.0;251;2
444590;4.0;252;2
444592;4.0;253;2
444595;4.0;254;2
444596;4.0;255;2
444597;4.0;256;2
444601;4.0;257;2
444616;4.0;258;2
444617;4.0;259;2
444620;4.0;260;2
444763;4.0;261;2
444963;4.0;262;2
444964;4.0;263;2
445100;4.0;264;2
445105;4.0;265;2
445208;4.0;266;2
445209;4.0;267;2
445263;4.0;268;2
446046;4.0;269;2
446209;4.0;270;2
446216;4.0;271;2
446489;4.0;272;2
446584;4.0;273;2
344625;4.0;274;6
344643;4.0;275;6
345343;4.0;276;6
346725;4.0;277;6
346833;4.0;278;6
346925;4.0;279;6
347591;4.0;280;6
347592;4.0;281;6
347593;4.0;282;6
347594;4.0;283;6
348220;4.0;284;6
348221;4.0;285;6
348222;4.0;286;6
348306;4.0;287;6
348307;4.0;288;6
348321;4.0;289;6
348327;4.0;290;6
357580;4.0;291;6
358030;4.0;292;6
358095;4.0;293;6
358230;4.0;294;6
358404;4.0;295;6
358808;4.0;296;6
358809;4.0;297;6
358930;4.0;298;6
358960;4.0;299;6
358962;4.0;300;6
358963;4.0;301;6
359041;4.0;302;6
359144;4.0;303;6
359149;4.0;304;6
359150;4.0;305;6
359151;4.0;306;6
359383;4.0;307;6
359563;4.0;308;6
359564;4.0;309;6
359566;4.0;310;6
360106;4.0;311;6
360355;4.0;312;6
360588;4.0;313;6
360731;4.0;314;6
360732;4.0;315;6
360734;4.0;316;6
360737;4.0;317;6
361006;4.0;318;6
361518;4.0;319;6
361519;4.0;320;6
361793;4.0;321;6
361794;4.0;322;6
362007;4.0;323;6
362008;4.0;324;6
362512;4.0;325;6
362667;4.0;326;6
362711;4.0;327;6
363279;4.0;328;6
363406;4.0;329;6
365304;4.0;330;6
365734;4.0;331;6
365741;4.0;332;6
365746;4.0;333;6
366024;4.0;334;6
366212;4.0;335;6
366395;4.0;336;6
366447;4.0;337;6
366448;4.0;338;6
366450;4.0;339;6
366452;4.0;340;6
366453;4.0;341;6
366454;4.0;342;6
366455;4.0;343;6
366456;4.0;344;6
366458;4.0;345;6
366936;4.0;346;6
367081;4.0;347;6
367084;4.0;348;6
367085;4.0;349;6
367781;4.0;350;6
368256;4.0;351;6
368267;4.0;352;6
368349;4.0;353;6
377849;4.0;354;6
379451;4.0;355;6
379570;4.0;356;6
382292;4.0;357;6
382905;4.0;358;6
383263;4.0;359;6
383475;4.0;360;6
383606;4.0;361;6
383607;4.0;362;6
383608;4.0;363;6
383728;4.0;364;6
383729;4.0;365;6
383730;4.0;366;6
383731;4.0;367;6
383881;4.0;368;6
384438;4.0;369;6
385283;4.0;370;6
385885;4.0;371;6
386466;4.0;372;6
386525;4.0;373;6
386526;4.0;374;6
386527;4.0;375;6
386729;4.0;376;6
386735;4.0;377;6
386737;4.0;378;6
386762;4.0;379;6
386763;4.0;380;6
386764;4.0;381;6
386832;4.0;382;6
386899;4.0;383;6
386923;4.0;384;6
387298;4.0;385;6
387784;4.0;386;6
387932;4.0;387;6
388725;4.0;388;6
389039;4.0;389;6
389205;4.0;390;6
389206;4.0;391;6
389207;4.0;392;6
389255;4.0;393;6
389256;4.0;394;6
389257;4.0;395;6
389419;4.0;396;6
389424;4.0;397;6
389454;4.0;398;6
389598;4.0;399;6
389704;4.0;400;6
389770;4.0;401;6
389772;4.0;402;6
389783;4.0;403;6
389784;4.0;404;6
389988;4.0;405;6
392124;4.0;406;6
392126;4.0;407;6
392738;4.0;408;6
392746;4.0;409;6
392984;4.0;410;6
393332;4.0;411;6
394573;4.0;412;6
394574;4.0;413;6
394601;4.0;414;6
396267;4.0;415;6
396318;4.0;416;6
396321;4.0;417;6
396328;4.0;418;6
396614;4.0;419;6
397723;4.0;420;6
400209;4.0;421;6
410053;4.0;422;6
410105;4.0;423;6
411992;4.0;424;6
411993;4.0;425;6
412129;4.0;426;6
412532;4.0;427;6
413198;4.0;428;6
414755;4.0;429;6
414884;4.0;430;6
415127;4.0;431;6
415263;4.0;432;6
415473;4.0;433;6
415474;4.0;434;6
415475;4.0;435;6
415476;4.0;436;6
415477;4.0;437;6
415478;4.0;438;6
415479;4.0;439;6
415480;4.0;440;6
415483;4.0;441;6
415486;4.0;442;6
415488;4.0;443;6
415489;4.0;444;6
415490;4.0;445;6
415491;4.0;446;6
415492;4.0;447;6
415493;4.0;448;6
415525;4.0;449;6
415526;4.0;450;6
415528;4.0;451;6
415529;4.0;452;6
415934;4.0;453;6
416088;4.0;454;6
416092;4.0;455;6
416111;4.0;456;6
416160;4.0;457;6
416166;4.0;458;6
416168;4.0;459;6
416188;4.0;460;6
416189;4.0;461;6
416192;4.0;462;6
416194;4.0;463;6
416195;4.0;464;6
416233;4.0;465;6
416235;4.0;466;6
416244;4.0;467;6
416332;4.0;468;6
416344;4.0;469;6
416345;4.0;470;6
416690;4.0;471;6
416924;4.0;472;6
416928;4.0;473;6
417362;4.0;474;6
417508;4.0;475;6
417510;4.0;476;6
417511;4.0;477;6
417512;4.0;478;6
417744;4.0;479;6
419052;4.0;480;6
419104;4.0;481;6
419106;4.0;482;6
419107;4.0;483;6
419108;4.0;484;6
419114;4.0;485;6
419116;4.0;486;6
419117;4.0;487;6
419118;4.0;488;6
419145;4.0;489;6
419223;4.0;490;6
419418;4.0;491;6
419419;4.0;492;6
419420;4.0;493;6
419421;4.0;494;6
440905;4.0;495;6
441230;4.0;496;6
