ID;Visit#Daypart;Fact_Visit_Daypart_ID;Daypart_ID
729674;2.0;1;1
730472;2.0;2;1
732361;2.0;3;1
732732;2.0;4;1
733574;2.0;5;1
734563;2.0;6;1
734740;2.0;7;1
736777;2.0;8;1
736894;2.0;9;1
741655;2.0;10;1
741729;2.0;11;1
743338;2.0;12;1
746310;2.0;13;1
746996;2.0;14;1
747544;2.0;15;1
748184;2.0;16;1
748748;2.0;17;1
748883;2.0;18;1
748944;2.0;19;1
749457;2.0;20;1
757813;2.0;21;1
758734;2.0;22;1
758753;2.0;23;1
759284;2.0;24;1
764281;2.0;25;1
764654;2.0;26;1
764663;2.0;27;1
765501;2.0;28;1
765509;2.0;29;1
767694;2.0;30;1
768521;2.0;31;1
769065;2.0;32;1
769207;2.0;33;1
769410;2.0;34;1
769476;2.0;35;1
769484;2.0;36;1
769866;2.0;37;1
777687;2.0;38;1
778119;2.0;39;1
779000;2.0;40;1
779002;2.0;41;1
780448;2.0;42;1
781296;2.0;43;1
781349;2.0;44;1
781673;2.0;45;1
783177;2.0;46;1
783382;2.0;47;1
783544;2.0;48;1
783614;2.0;49;1
784316;2.0;50;1
785671;2.0;51;1
786307;2.0;52;1
786408;2.0;53;1
786613;2.0;54;1
786922;2.0;55;1
786990;2.0;56;1
787910;2.0;57;1
788487;2.0;58;1
788645;2.0;59;1
788918;2.0;60;1
788931;2.0;61;1
789261;2.0;62;1
789380;2.0;63;1
789441;2.0;64;1
789566;2.0;65;1
789709;2.0;66;1
789742;2.0;67;1
789761;2.0;68;1
789999;2.0;69;1
790326;2.0;70;1
790347;2.0;71;1
791730;2.0;72;1
791779;2.0;73;1
792058;2.0;74;1
792060;2.0;75;1
792575;2.0;76;1
792590;2.0;77;1
792750;2.0;78;1
792768;2.0;79;1
792780;2.0;80;1
792784;2.0;81;1
792790;2.0;82;1
792912;2.0;83;1
792916;2.0;84;1
792924;2.0;85;1
792930;2.0;86;1
792955;2.0;87;1
793545;2.0;88;1
794171;2.0;89;1
794177;2.0;90;1
794179;2.0;91;1
794347;2.0;92;1
794599;2.0;93;1
794606;2.0;94;1
795105;2.0;95;1
795365;2.0;96;1
795553;2.0;97;1
795745;2.0;98;1
796181;2.0;99;1
796924;2.0;100;1
796944;2.0;101;1
