ID;Year;Spontaneous;Awareness;Trial;P3M;P1M;Comprehension;Brand_Likability;Weekly;Daily;Fre#visit;PPA;Spending;BH_ID;Brand_ID;City_ID;Segmentation_ID;NPS_ID
384175;2018;0;1;0;0;0;2;0;0;0;;;;87;6;3;;
386130;2018;0;1;0;0;0;2;0;0;0;;;;88;6;3;;
386288;2018;0;1;0;0;0;2;0;0;0;;;;89;6;3;;
386289;2018;0;1;0;0;0;2;0;0;0;;;;90;6;3;;
386290;2018;0;1;0;0;0;2;0;0;0;;;;91;6;3;;
386291;2018;0;1;0;0;0;2;0;0;0;;;;92;6;3;;
386293;2018;0;1;0;0;0;2;0;0;0;;;;93;6;3;;
386294;2018;0;1;0;0;0;2;0;0;0;;;;94;6;3;;
386647;2018;0;1;0;0;0;2;0;0;0;;;;95;6;3;;
388080;2018;0;1;0;0;0;2;0;0;0;;;;96;6;3;;
390349;2018;0;1;0;0;0;2;0;0;0;;;;97;6;3;;
390353;2018;0;1;0;0;0;2;0;0;0;;;;98;6;3;;
391108;2018;0;1;0;0;0;2;0;0;0;;;;99;6;3;;
391109;2018;0;1;0;0;0;2;0;0;0;;;;100;6;3;;
391111;2018;0;1;0;0;0;2;0;0;0;;;;101;6;3;;
391112;2018;0;1;0;0;0;2;0;0;0;;;;102;6;3;;
392165;2018;0;1;0;0;0;2;0;0;0;;;;103;6;3;;
392406;2018;0;1;0;0;0;2;0;0;0;;;;104;6;3;;
392407;2018;0;1;0;0;0;2;0;0;0;;;;105;6;3;;
392408;2018;0;1;0;0;0;2;0;0;0;;;;106;6;3;;
392410;2018;0;1;0;0;0;2;0;0;0;;;;107;6;3;;
394255;2018;0;1;0;0;0;2;0;0;0;;;;108;6;3;;
394256;2018;0;1;0;0;0;2;0;0;0;;;;109;6;3;;
398202;2018;0;1;0;0;0;2;0;0;0;;;;110;6;3;;
398203;2018;0;1;0;0;0;2;0;0;0;;;;111;6;3;;
398204;2018;0;1;0;0;0;2;0;0;0;;;;112;6;3;;
398500;2018;0;1;0;0;0;2;0;0;0;;;;113;6;3;;
398501;2018;0;1;0;0;0;2;0;0;0;;;;114;6;3;;
398511;2018;0;1;0;0;0;2;0;0;0;;;;115;6;3;;
398540;2018;0;1;0;0;0;2;0;0;0;;;;116;6;3;;
398541;2018;0;1;0;0;0;2;0;0;0;;;;117;6;3;;
398810;2018;0;1;0;0;0;2;0;0;0;;;;118;6;3;;
398814;2018;0;1;0;0;0;2;0;0;0;;;;119;6;3;;
399375;2018;0;1;0;0;0;2;0;0;0;;;;120;6;3;;
399409;2018;0;1;0;0;0;2;0;0;0;;;;121;6;3;;
399411;2018;0;1;0;0;0;2;0;0;0;;;;122;6;3;;
399412;2018;0;1;0;0;0;2;0;0;0;;;;123;6;3;;
399416;2018;0;1;0;0;0;2;0;0;0;;;;124;6;3;;
399418;2018;0;1;0;0;0;2;0;0;0;;;;125;6;3;;
399420;2018;0;1;0;0;0;2;0;0;0;;;;126;6;3;;
399421;2018;0;1;0;0;0;2;0;0;0;;;;127;6;3;;
399422;2018;0;1;0;0;0;2;0;0;0;;;;128;6;3;;
399423;2018;0;1;0;0;0;2;0;0;0;;;;129;6;3;;
399425;2018;0;1;0;0;0;2;0;0;0;;;;130;6;3;;
